"Field","Type","Null","Key","Default","Extra"
"id","int(11) unsigned","NO","PRI","","auto_increment"
"nip","varchar(12)","NO","","",""
"nik","varchar(12)","NO","","",""
"nama","varchar(100)","NO","","",""
"jenis_kelamin","enum('pria','wanita')","NO","","",""
"tempat_lahir","varchar(100)","NO","","",""
"tanggal_lahir","date","NO","","",""
"telpon","varchar(12)","NO","","",""
"agama","varchar(15)","NO","","",""
"status_nikah","enum('belum nikah','nikah')","NO","","",""
"alamat","text","NO","","",""
"golongan_id","int(11) unsigned","NO","MUL","",""
"foto","varchar(150)","NO","","",""
